dm,gdr,smk,age,sbp,chl,refv,AFR_D,AFR_E,AMR_A,AMR_B,AMR_D,EMR_B,EMR_D,EUR_A,EUR_B,EUR_C,SEAR_B,SEAR_D,WPR_B,WPR_A
1,0,0,70,140,6,700101406,20% to <30%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,10% to <20%
1,0,0,70,140,7,700101407,20% to <30%,20% to <30%,30% to <40%,20% to <30%,30% to <40%,>=40%,30% to <40%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,>=40%,20% to <30%,20% to <30%
1,0,0,70,140,8,700101408,30% to <40%,30% to <40%,>=40%,30% to <40%,30% to <40%,>=40%,>=40%,20% to <30%,30% to <40%,30% to <40%,>=40%,>=40%,30% to <40%,20% to <30%
1,0,0,70,160,4,700101604,20% to <30%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,10% to <20%
1,0,0,70,160,5,700101605,20% to <30%,20% to <30%,30% to <40%,20% to <30%,30% to <40%,>=40%,30% to <40%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,>=40%,20% to <30%,20% to <30%
1,0,0,70,160,6,700101606,30% to <40%,20% to <30%,>=40%,30% to <40%,30% to <40%,>=40%,>=40%,20% to <30%,20% to <30%,30% to <40%,30% to <40%,>=40%,30% to <40%,20% to <30%
1,0,0,70,160,7,700101607,>=40%,30% to <40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,30% to <40%,30% to <40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%
1,0,0,70,160,8,700101608,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,0,70,180,4,700101804,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%
1,0,0,70,180,5,700101805,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,0,70,180,6,700101806,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,0,70,180,7,700101807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,0,70,180,8,700101808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,40,120,4,401111204,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,1,40,120,5,401111205,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,1,40,120,6,401111206,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,1,40,120,7,401111207,<10%,<10%,10% to <20%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
1,1,1,40,120,8,401111208,10% to <20%,10% to <20%,30% to <40%,20% to <30%,<10%,<10%,10% to <20%,<10%,10% to <20%,10% to <20%,20% to <30%,30% to <40%,10% to <20%,10% to <20%
1,1,1,40,140,4,401111404,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,1,40,140,5,401111405,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,1,40,140,6,401111406,10% to <20%,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
1,1,1,40,140,7,401111407,10% to <20%,20% to <30%,30% to <40%,10% to <20%,<10%,<10%,10% to <20%,<10%,10% to <20%,10% to <20%,10% to <20%,30% to <40%,10% to <20%,10% to <20%
1,1,1,40,140,8,401111408,20% to <30%,>=40%,>=40%,>=40%,20% to <30%,10% to <20%,20% to <30%,10% to <20%,30% to <40%,30% to <40%,>=40%,>=40%,20% to <30%,20% to <30%
1,1,1,40,160,4,401111604,10% to <20%,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,10% to <20%,<10%,<10%,<10%,10% to <20%,10% to <20%,10% to <20%,<10%
1,1,1,40,160,5,401111605,10% to <20%,20% to <30%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%
1,1,1,40,160,6,401111606,30% to <40%,>=40%,30% to <40%,30% to <40%,20% to <30%,10% to <20%,20% to <30%,<10%,20% to <30%,10% to <20%,20% to <30%,>=40%,30% to <40%,20% to <30%
1,1,1,40,160,7,401111607,>=40%,>=40%,>=40%,>=40%,30% to <40%,20% to <30%,30% to <40%,10% to <20%,30% to <40%,30% to <40%,>=40%,>=40%,30% to <40%,30% to <40%
1,1,1,40,160,8,401111608,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,40,180,4,401111804,>=40%,>=40%,30% to <40%,>=40%,>=40%,30% to <40%,>=40%,10% to <20%,30% to <40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%
1,1,1,40,180,5,401111805,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,10% to <20%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,40,180,6,401111806,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,40,180,7,401111807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,40,180,8,401111808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,50,120,4,501111204,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,1,50,120,5,501111205,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,1,50,120,6,501111206,<10%,<10%,10% to <20%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
1,1,1,50,120,7,501111207,10% to <20%,10% to <20%,20% to <30%,10% to <20%,<10%,<10%,10% to <20%,<10%,<10%,<10%,10% to <20%,20% to <30%,<10%,<10%
1,1,1,50,120,8,501111208,20% to <30%,10% to <20%,>=40%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,<10%,20% to <30%,20% to <30%,20% to <30%,>=40%,10% to <20%,10% to <20%
1,1,1,50,140,4,501111404,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,1,50,140,5,501111405,10% to <20%,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,10% to <20%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%
1,1,1,50,140,6,501111406,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%
1,1,1,50,140,7,501111407,20% to <30%,30% to <40%,>=40%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,<10%,20% to <30%,20% to <30%,20% to <30%,>=40%,20% to <30%,10% to <20%
1,1,1,50,140,8,501111408,30% to <40%,>=40%,>=40%,>=40%,30% to <40%,30% to <40%,>=40%,20% to <30%,>=40%,>=40%,>=40%,>=40%,30% to <40%,30% to <40%
1,1,1,50,160,4,501111604,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,<10%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%
1,1,1,50,160,5,501111605,20% to <30%,30% to <40%,30% to <40%,30% to <40%,20% to <30%,20% to <30%,30% to <40%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,30% to <40%,20% to <30%
1,1,1,50,160,6,501111606,30% to <40%,>=40%,>=40%,>=40%,30% to <40%,30% to <40%,>=40%,10% to <20%,30% to <40%,30% to <40%,30% to <40%,>=40%,>=40%,30% to <40%
1,1,1,50,160,7,501111607,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,20% to <30%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,50,160,8,501111608,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,50,180,4,501111804,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,20% to <30%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,50,180,5,501111805,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,50,180,6,501111806,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,50,180,7,501111807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,50,180,8,501111808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,60,120,4,601111204,<10%,<10%,10% to <20%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%,10% to <20%,<10%,10% to <20%,<10%,<10%
1,1,1,60,120,5,601111205,10% to <20%,<10%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,<10%,10% to <20%,10% to <20%,<10%,20% to <30%,10% to <20%,<10%
1,1,1,60,120,6,601111206,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,30% to <40%,10% to <20%,10% to <20%
1,1,1,60,120,7,601111207,20% to <30%,20% to <30%,30% to <40%,20% to <30%,10% to <20%,30% to <40%,30% to <40%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,>=40%,20% to <30%,10% to <20%
1,1,1,60,120,8,601111208,20% to <30%,30% to <40%,>=40%,30% to <40%,30% to <40%,>=40%,>=40%,20% to <30%,30% to <40%,>=40%,20% to <30%,>=40%,30% to <40%,20% to <30%
1,1,1,60,140,4,601111404,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%
1,1,1,60,140,5,601111405,20% to <30%,10% to <20%,30% to <40%,20% to <30%,10% to <20%,30% to <40%,30% to <40%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,30% to <40%,20% to <30%,10% to <20%
1,1,1,60,140,6,601111406,20% to <30%,20% to <30%,>=40%,20% to <30%,20% to <30%,>=40%,>=40%,10% to <20%,20% to <30%,30% to <40%,20% to <30%,>=40%,30% to <40%,20% to <30%
1,1,1,60,140,7,601111407,>=40%,30% to <40%,>=40%,30% to <40%,30% to <40%,>=40%,>=40%,20% to <30%,30% to <40%,>=40%,30% to <40%,>=40%,>=40%,30% to <40%
1,1,1,60,140,8,601111408,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%
1,1,1,60,160,4,601111604,20% to <30%,20% to <30%,>=40%,30% to <40%,20% to <30%,30% to <40%,>=40%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,>=40%,30% to <40%,20% to <30%
1,1,1,60,160,5,601111605,30% to <40%,30% to <40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,20% to <30%,30% to <40%,>=40%,30% to <40%,>=40%,>=40%,30% to <40%
1,1,1,60,160,6,601111606,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,60,160,7,601111607,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,60,160,8,601111608,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,60,180,4,601111804,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,60,180,5,601111805,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,60,180,6,601111806,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,60,180,7,601111807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,60,180,8,601111808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,70,120,4,701111204,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,20% to <30%,10% to <20%,10% to <20%
1,1,1,70,120,5,701111205,10% to <20%,10% to <20%,30% to <40%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,20% to <30%,20% to <30%,10% to <20%,30% to <40%,20% to <30%,10% to <20%
1,1,1,70,120,6,701111206,20% to <30%,20% to <30%,>=40%,20% to <30%,20% to <30%,30% to <40%,>=40%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,30% to <40%,20% to <30%,20% to <30%
1,1,1,70,120,7,701111207,30% to <40%,30% to <40%,>=40%,30% to <40%,30% to <40%,>=40%,>=40%,30% to <40%,30% to <40%,>=40%,20% to <30%,>=40%,30% to <40%,20% to <30%
1,1,1,70,120,8,701111208,30% to <40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,30% to <40%
1,1,1,70,140,4,701111404,20% to <30%,10% to <20%,>=40%,20% to <30%,20% to <30%,30% to <40%,30% to <40%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,30% to <40%,30% to <40%,20% to <30%
1,1,1,70,140,5,701111405,30% to <40%,20% to <30%,>=40%,30% to <40%,30% to <40%,>=40%,>=40%,30% to <40%,30% to <40%,>=40%,20% to <30%,>=40%,>=40%,30% to <40%
1,1,1,70,140,6,701111406,30% to <40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,30% to <40%,>=40%,30% to <40%,>=40%,>=40%,30% to <40%
1,1,1,70,140,7,701111407,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,70,140,8,701111408,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,70,160,4,701111604,30% to <40%,20% to <30%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,30% to <40%,>=40%,>=40%,>=40%
1,1,1,70,160,5,701111605,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,70,160,6,701111606,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,70,160,7,701111607,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,70,160,8,701111608,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,70,180,4,701111804,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,70,180,5,701111805,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,70,180,6,701111806,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,70,180,7,701111807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,1,70,180,8,701111808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,0,40,120,4,401101204,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,0,40,120,5,401101205,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,0,40,120,6,401101206,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,0,40,120,7,401101207,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,0,40,120,8,401101208,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%
1,1,0,40,140,4,401101404,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,0,40,140,5,401101405,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,0,40,140,6,401101406,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,0,40,140,7,401101407,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
1,1,0,40,140,8,401101408,30% to <40%,20% to <30%,30% to <40%,20% to <30%,10% to <20%,<10%,10% to <20%,<10%,10% to <20%,20% to <30%,20% to <30%,30% to <40%,10% to <20%,10% to <20%
1,1,0,40,160,4,401101604,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,0,40,160,5,401101605,<10%,10% to <20%,<10%,10% to <20%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%
1,1,0,40,160,6,401101606,10% to <20%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,<10%,10% to <20%,<10%,10% to <20%,20% to <30%,10% to <20%,10% to <20%
1,1,0,40,160,7,401101607,30% to <40%,30% to <40%,30% to <40%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,10% to <20%,20% to <30%,>=40%,20% to <30%,10% to <20%
1,1,0,40,160,8,401101608,>=40%,>=40%,>=40%,>=40%,30% to <40%,20% to <30%,30% to <40%,20% to <30%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%
1,1,0,40,180,4,401101804,20% to <30%,30% to <40%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,<10%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,20% to <30%,20% to <30%
1,1,0,40,180,5,401101805,30% to <40%,>=40%,20% to <30%,>=40%,20% to <30%,20% to <30%,30% to <40%,<10%,20% to <30%,20% to <30%,30% to <40%,30% to <40%,30% to <40%,20% to <30%
1,1,0,40,180,6,401101806,>=40%,>=40%,>=40%,>=40%,30% to <40%,30% to <40%,>=40%,10% to <20%,30% to <40%,20% to <30%,>=40%,>=40%,>=40%,30% to <40%
1,1,0,40,180,7,401101807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,20% to <30%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,0,40,180,8,401101808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,0,50,120,4,501101204,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,0,50,120,5,501101205,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,0,50,120,6,501101206,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,0,50,120,7,501101207,<10%,<10%,10% to <20%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
1,1,0,50,120,8,501101208,10% to <20%,10% to <20%,20% to <30%,10% to <20%,<10%,<10%,10% to <20%,<10%,<10%,<10%,10% to <20%,20% to <30%,10% to <20%,<10%
1,1,0,50,140,4,501101404,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,0,50,140,5,501101405,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,0,50,140,6,501101406,<10%,<10%,10% to <20%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
1,1,0,50,140,7,501101407,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,<10%,10% to <20%,<10%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%
1,1,0,50,140,8,501101408,30% to <40%,20% to <30%,>=40%,20% to <30%,20% to <30%,10% to <20%,20% to <30%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,>=40%,10% to <20%,20% to <30%
1,1,0,50,160,4,501101604,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%,10% to <20%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%
1,1,0,50,160,5,501101605,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%
1,1,0,50,160,6,501101606,20% to <30%,20% to <30%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,<10%,10% to <20%,10% to <20%,10% to <20%,30% to <40%,10% to <20%,10% to <20%
1,1,0,50,160,7,501101607,30% to <40%,30% to <40%,>=40%,30% to <40%,20% to <30%,20% to <30%,30% to <40%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,>=40%,30% to <40%,20% to <30%
1,1,0,50,160,8,501101608,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,20% to <30%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,0,50,180,4,501101804,20% to <30%,30% to <40%,20% to <30%,30% to <40%,20% to <30%,20% to <30%,30% to <40%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,30% to <40%,20% to <30%
1,1,0,50,180,5,501101805,30% to <40%,>=40%,>=40%,>=40%,30% to <40%,30% to <40%,>=40%,10% to <20%,30% to <40%,>=40%,30% to <40%,>=40%,>=40%,30% to <40%
1,1,0,50,180,6,501101806,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,20% to <30%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,0,50,180,7,501101807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,0,50,180,8,501101808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,1,0,60,120,4,601101204,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,1,0,60,120,5,601101205,<10%,<10%,10% to <20%,<10%,<10%,<10%,10% to <20%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
1,1,0,60,120,6,601101206,<10%,<10%,10% to <20%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%,10% to <20%,<10%,10% to <20%,<10%,<10%
1,1,0,60,120,7,601101207,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,<10%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,<10%
1,1,0,60,120,8,601101208,20% to <30%,20% to <30%,30% to <40%,10% to <20%,10% to <20%,30% to <40%,30% to <40%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,30% to <40%,10% to <20%,10% to <20%
1,1,0,60,140,4,601101404,<10%,<10%,10% to <20%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%,10% to <20%,<10%,10% to <20%,10% to <20%,<10%
1,1,0,60,140,5,601101405,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,<10%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%
1,1,0,60,140,6,601101406,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,30% to <40%,10% to <20%,10% to <20%
1,1,0,60,140,7,601101407,20% to <30%,20% to <30%,30% to <40%,20% to <30%,20% to <30%,30% to <40%,30% to <40%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,>=40%,20% to <30%,10% to <20%
1,1,0,60,140,8,601101408,30% to <40%,20% to <30%,>=40%,30% to <40%,30% to <40%,>=40%,>=40%,20% to <30%,30% to <40%,>=40%,20% to <30%,>=40%,30% to <40%,20% to <30%
1,1,0,60,160,4,601101604,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,20% to <30%,20% to <30%,10% to <20%
1,1,0,60,160,5,601101605,20% to <30%,10% to <20%,30% to <40%,20% to <30%,20% to <30%,30% to <40%,30% to <40%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,30% to <40%,20% to <30%
1,1,0,60,160,6,601101606,20% to <30%,20% to <30%,>=40%,30% to <40%,20% to <30%,>=40%,>=40%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,>=40%,30% to <40%,20% to <30%
1,1,0,60,160,7,601101607,30% to <40%,30% to <40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,20% to <30%,30% to <40%,>=40%,30% to <40%,>=40%,>=40%,30% to <40%
1,1,0,60,160,8,601101608,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
